tweet_text,caution_and_advice,displaced_people_and_evacuations,infrastructure_and_utility_damage,injured_or_dead_people,missing_or_found_people,not_humanitarian,other_relevant_information,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,sympathy_and_support
At 3 AM down in your front yard/threatening to make forest fires worse/on a heart-shaped guitar,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"CALIFORNIAs SELF-DESTRUCTION (fires, crime, sanctuary cities, same-sex promotion, ETC) is from its rebellion, sin &amp; ANTI-God laws. Calif. =KEY SIGN of whats coming to End Time USA *AND GLOBALLY. Unless those days were cut short, NO LIFE would be saved. (Jesus/Matt 24:22)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"California firefighters angrily respond to what they see as Pres. Trumps attack on their efforts to control tragic fires. They say Trump is ill-informed, ill-timed and demeaning to those who are suffering as well as the men and women on the front lines.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"As relentless wildfires destroy communities in Northern California and Ventura County, dangerous fire-prone weather conditions will resurface in San Diego beginning Sunday.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Once again the fire raze California. I want to send encourage to all the families of the people deceased and affected and also all the strength to the fire-fighting team ὏7 @UniNoticias #CaliforniaFires #WoolseyFire #CaliforniaWildfires #CampFire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
California wildfire: Coroners search for those killed in blaze: At least 42 people were confirmed dead.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Praying for everyone here in California!! It is just devastating &amp; heartbreaking seeing California burn!! People getting evacuated. Towns, homes destroyed. 2 in SoCal &amp; 1 in NorCal. Everyone be safe!! Thank you to all the firefighters fighting these awful fires!!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The ongoing fires in California are tragic - the loss of human life, the homes that have been destroyed &amp; the vast areas that have been burned. What’s worse, however, is that much of the devastation should have been avoidable.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"A series of fast-moving wildfires is racing up and down California, leaving at least five people dead, destroying thousands of structures and forcing thousands of residents to evacuate through flame-lined streets",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"RT @nbc6: #BREAKING: Six additional bodies found in California wildfires, bringing the statewide death toll to 29 –",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Check out this Really interesting work from a photographer covering the California fires..,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @PressTV: Death toll rises to 48 in #Californias deadliest wildfire  #CaliforniaFires,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
National Guard troops joined the grim search on Wednesday for more victims in the ruins of an incinerated northern California town while the death toll climbed to 56 in the most deadly and destructive wildfire in the states history. At least 56 killed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
So far 23 people died from laser fires in California this year. It is murder and it was done on purpose by the CIA.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@JoyAnnReid Ok, @JoyAnnReid, take it from an Australian with fire experience the build up of many years of leaves, mulch etc actually makes many forests more fire resistant as it retains moisture. California’s biggest mistake was to import our eucalypts as they can literally explode",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Prisoners are making $1/hour to fight wildfires in CA. Demand justice for Californias prisoners !,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
@realDonaldTrump Californias Woolsey Fire has left a burn scar so big you can see it from space. Extreme Weather conditions are proofs for climate change. So brutal cold blasts and heavy rain in the desert.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Thank you @realDonaldTrump for highlighting this policy issue and for your stewardship of the environment. Your words are both comforting &amp; helpful to all of us affected by the fires. For my small part, I’m going to use this fundraiser to help.  @gofundme",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Death toll rises in raging Northern Calif. wildfire Authorities are working to confirm the identities of more bodies found as the powerful blaze rips through entire neighborhoods in Paradise, Calif. Mass evacuations »",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@RyBot5000 @Ann__Kelly @Swamp_Fever2020 ὠ2Thats your response to the facts Chicago strict gun laws have not made a difference ὠ2You bring up a ridiculous response about California fires .What does the California fires even have to do with the topic of stating a strict gun reform law in Chicago not working .,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Fact Check: Did California Governor Jerry Brown veto a wildfire management bill, increasing the risk of wildfires? Full Report:  #CampFire #WoolseyFire",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The California wildfires are yet another reason the President and Congress must act on climate – ASAP. We cannot afford to wait.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
News | Updated NASA Damage Map of Camp Fire from Space,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Police &amp; firefighters made a quick decision: To survive, they’d need to shelter evacuees in an empty building  Some were diabetic &amp; began suffering, so Nichols grabbed some shortbread cookies from a woman &amp; handed them out. #CampFire @DirectRelief",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Trump blamed poor forest management” for the California fires REASON WHY THIS IS JUST WRONG scientists Say Forest mismanagement isnt to blame for the California wildfires TRUMP IS WRONG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
And what percent of new San Francisco homes were built on liquefaction zones? I’m guessing 70 percent.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Looking down on countless fires when flying over #California. Tough to see so much destruction, and we can’t do anything about it from up here.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59 people are dead in California wild fires and not a good word from the moron n Chief. The state is turning very blue and he just cant get past that since he is all about Trump!!!,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"BREAKING: Authorities say 5 more bodies have been found in the rubble of the Northern #CaliforniaFires, bringing the death toll to 76. Trump views the damage from the camp fire in Paradise, as more than 1,200 are still unaccounted for in the worst wildfire to hit California.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
At least 42 people killed and over 200 still missing - California wildfires become states deadliest  (Tap to expand),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
California fire crews notch progress as weather cools and calms; Camp Fire death toll up to 63  via @usatoday,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @davidicke: Directed Energy Lasers Used in #California Fires - Video  #DEW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
your president just blamed this deadly situation that has displaced hundreds of families and taken away their homes on poor forest management” and is refusing to help California with federal funding to stop the destruction and fix the damage #notmypresident,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @BBCWorld: California wildfires: Malibu homes burn as death toll climbs to nine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Heads up for insurance hassles if your home isnt in the burn zone but gets damaged by smoke or ash,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Latest: Death toll from Northern California wildfire now 84:,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@ChrisLu44 @banditthor He also blames California for their fires because they didnt rake their whole 33 million acres of forest.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @DailyMirror: California wildfire death toll soars as charred bodies found in devastated town,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Please donate to California Fire Foundation &amp; California Community Fund, two efforts to care for the victims of the #WoolseyFire &amp; #HillFire, and those who are putting their lives on the line to fight it. @CAFireFound:  @calfund:",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Wow! @SammyMarkle64 is organizing a charity to help people effected by fire in Californianope she isnt. She is helping the disabled in hospital with Turkeys for Thanksgiving nope shes not She is gathering toys for totsnope Bitching about Meghan on twitter, again ὄD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Relentless California wildfires leave 79 dead, nearly 1,300 others still missing  Now, look here fellow tweeters: KNOW THIS: I LOVE THIS TIE ABOVE ALL OTHER TIES THAT 45TH EARS..JUST A VERY HANDSOME TIE. CHURCHILL",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The #CaliforniaFires to date: -44 people dead -200+ people missing -6,000 buildings destroyed -200,000 acres burned Learn more:  #ClimateChange",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@Eddie7757 @ArtNelson1 Hey @Eddie7757, I just want you to know that there are some of us here in Texas praying for everyone affected, or potentially affected by the fires in your great state of California. Dont let one bad guy taint your view of your other fellow Americans. Youre better than that! ἟A἟8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"I’m sorry guys I can’t get over this Hundreds of thousands of people are being displaced. Homes and livelihoods are being destroyed, people are dying and our PRESIDENT is focusing on who’s to blame rather than mobilizing to help anyone. He is a miserable excuse for a man.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31 dead and hundreds missing in Californiawhere is the leadership a President should be given during a time of tragedy and ongoing crisis???? .,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@BrittanyBegley I swear,it hasnt STOPPED raining here since Feb!Im done with  wish all of those in the fire damaged areas my best,with rain,comes the mud.Not alot I can say!Just hope for the best.We,as a nation are thinking of all of them!California Strong!",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @dabeard: Death toll rises to 23 people in Californias #CampFire; @AP reports 110 still missing  #CaliforniaWild,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Staggered #evacuation plan questioned in #CampFire aftermath,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Death toll rises to 42 in California’s Camp Fire, making it the deadliest wildfire ever in the state  #ParadiseStrong",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@AiringGrievence @Keith5155Keith @Gabrieltamba200 @DianeLockwood9 @smokey4110 @Tim_Is_He @realDonaldTrump The number one cause of California wild fires since 2015 is the electrical grid in California. The number one contributor of global warming in the United States is Californias wild fires Tell me more about how this is the republicans fault.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
.@RyanZinke blaming environmentalists for the disastrous #California fires is some blatant mwahahah! Dr. Evil level villainy.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Praying for everyone’s safety with these California fires! #besafe #californialove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"According to Trump, the devastating wildfires were California’s own fault for not raking the forest floor of debris — a baseless theory widely debunked by experts — yet the CIA’s report that the Saudi prince ordered Khashoggi’s murder does not firmly establish responsibility. ???",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"California breathes a collective sigh of deep relief as we get our first rain of the season, clearing the air and calming the fires. Also, my roommates car skyroof is doing some crazy things with light and color.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RT @CA_LaJolla: Ferguson Park area in Rialto San Bernardino California being evacuated from the Sierra Fire”,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California is a horrible mess right now with citizens struggling due to the fires. I know, because I am one of them. No home. Not clothes. No necessary items. No meds. Doctors overwhelmed by the displaced. All help needs to go to those like me that need assistance. NOT ILLEGALS!",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#Many still unaccounted for in #California #fires - Nov 19 @ 5:51 PM ET,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"ISRAELI WATER-MAKER PLANE TO HELP at #CampFireParadise The atmospheric water generator called the GEN-350, produced by the company Watergen USA, can produce up to 156 gallons of water per day and is transportable. It is carried by an , ..",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
This scared me to death because I have friends who also live in California. I couldn’t help but to hear the tragedy news about the wild fire destroying innocent souls and their homes. Praying for everyone’s safely including your familyὤFἿDὉ5 @khloekardashian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"@thespybrief @MelissaJPeltier @MollyJongFast Camp fire update. Fire getting blasted today with rain. So it’s done spreading. We could see 100 dead. 14,000 homes destroyed. . 750 businesses. I can’t wrap my mind around 14,000 homes.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Climate Scientist Says Global Warming Not Among the Real Problems Behind California Wildfires,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Who here didn’t wake up at 3 AM and think, if I threaten to take away federal dollars, the fires will stop.”",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"CALIFORNIA WILDFIRES: -A new fire breaks out in southern California as crews continue to battle the deadly Camp and Woolsey fires. -48 people are dead in the Camp Fire, 2 in the Woolsey Fire, bringing the statewide death toll to 50:",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"it is still wild to me (it shouldn’t be anymore, but it is) that the president of the United States can come on to this website and 1.) lie 2.) give a straight up sociopathic response to a state in the union that is on fire and needs help. Get absolutely bent.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"The Oakland Raiders announced on Thursday that they would be donating $250,000 to the North Valley Community Foundation and the American Red Cross to help with Camp Fire recovery efforts. READ MORE&gt;&gt;",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"If you have evacuated from one of the many fires burning in California today, change the cell voice mail message to update your current status and location. Then, when loved ones call, theyll know you are okay even if the call doesnt go through. #CampFire #WoolseyFire #HillFire",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @thehill: Angela Merkel expresses condolences to Trump over California wildfires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Death toll in Californias Camp Fire now 48: officials  #FoxNews,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
California wildfires threaten Hollywood sets and celebrity homes The historic Paramount Ranch was among those to burn down.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Interior Secretary Ryan Zinke says its not time for finger-pointing over California fires, then blames radical environmentalists",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
$1.2 million raised to assist employees of Adventist Health Feather River Hospital that were impacted by the Camp Fire. It is overwhelming what we can do when we work together to assist our brothers and sisters in need. #ParadiseStrong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#buttestrong #retweet4good Aaron Rogers’s pledging 1 million dollars of his own money to the victims of the Camp Fire and the people of Paradise and neighboring communities ὤCἿBὤCἿB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lady Gaga helps out at Wildlife shelter in California.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Hedge Rewind to November 11, 2018@12:10am Death toll jumps to 25 in California wildfires; 57,000 buildings threatened  #USA TODAY Published via",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Paradise lost: California fires rage on  via @physorg_com,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Heres an extended look at the damage in Paradise from Livecopter 3, as the smoke cleared enough today for us to get in. We know some people still wonder about their homes as the #CampFire still has evacs. @PMLBob this video is not covered with graphics.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3am- while Americans are fleeing for their lives, tweeting SOS’s for their horses, cats and loved ones, he tweets a threat to take away federal funding for forest management in California It’s like saying to firehouse, the home burnt down, as a punishment I’m taking your water",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
got the idea from Gov. Torch Brown of California. Best to stop him now or youll get the wildfires next.ᾑ4ὡ2ᾛ9‍♂️ὒ5ὒ5἟A἟8἞B἟7἞C἞7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Why the California wildfires are spreading so quickly @CNN  - - - If you don’t believe in global warming you’re an idiot ᾒ6ἿD‍♀️,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@williamlegate tell them I send this from California with love and that the big fires started in urban interspace areas not forests,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"@HeyYoFabels @scottadamsshow @LionelMedia Oh and they arent done setting the fires, this is a push to get rid of people living outside major population centers. Wake the F Up California! USA OUT of the UN NOW!!! Most Importantly---- VOTE TRUMP in 2020 !! #MAGA #KAG #TRUMPTRAIN #AMERICAFIRST #FIRESWERESETBYGLOBALISTS",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
So sad. Imagine coming home to find your house burned down and cat dead in the fire. Prayers sent to the California fire victims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @todayng: Victims mourned as toll hits 77 in California wildfire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
My thoughts and prayers go to all those affected by the fires here in California.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
You probably wont read about it in mainstream outlets but Californias wildfires are quickly becoming a major public health crisis for workers far away from the flames.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
.RETWEET Chargers Fans! Chance to #WIN a #PhilipRivers Jersery! $10 per ticket sold for #CHARGERS vs #AZCARDINALS on 11/25 will be donated to  for Animals impacted by #California #wildfires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
New Technology story on NPR: Supercomputers Assist Firefighters In Evacuations As Wildfires Spread In California Calif. firefighters use a supercomputer called comet to assist in tracking where the wildfire might lead in order to quickly issue evacuatio,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Many have been killed while thousands of acres of California have been completely destroyed from this year’s wildfire season. A firefighter who was among those to lose his home reflects.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @lex_disher: For every bra purchased through 11/27 at @ThirdLove a bra will be donated to a victim of the California wildfires. Treat yo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Even if the assertion was factually sound — and it’s not (more factors at play in fires than fit in this tweet) — it’s astounding that any elected official, less the president, would take shots while homes and burning and Americans are dying.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"The fire became California’s third deadliest since record-keeping began, with the death toll surpassing that from a blaze last year that ravaged the city of Santa Rosa.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"10,000 homes destroyed, hundreds missing. If you want to understand why the Camp Fire and previous California fires overwhelmed emergency response systems, listen to this:  @Al_Letson @SukeyLewis @reveal",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The news from the California fires looks frightening. Hoping there isn’t more loss of life and folks can get out safe. Thanks to all the courageous first responders!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT @RoyalCentral: The Queen sends condolence message amid California wildfires,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Our President is the face of this country. He shows no empathy for those lives that have been destroyed or are now gone. Money isn’t the problem here Trump. You are. Help the citizens you govern with words of encouragement and hope. Do not dismiss them.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"RT GOPArkansas RT GOPArkansas RT GOPArkansas RT GOPArkansas As catastrophic wildfires cut a deadly swath through California, President Trump has demanded more aggressive forest management — and as luck would have it, Rep. Bruce Westerman has a bill to do exactly that.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BBC News - California wildfires: Why are so many listed as missing?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
@SecretaryZinke 4. Climate change is drying the state. Dryer conditions lead to a more flammable landscape. We may see more of the kind of winds that powered the Camp Fire into Paradise. More fires will dramatically alter the kinds of habitats we are used to seeing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"RT @tictoc: Inmates are making $1 or less per hour fighting Californias massive, deadly wildfires #tictocnews",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
In todays @BuzzFeedNews newsletter: • California wildfires update • Trump gave his presidency an A+ in a Fox News interview • Someone shot and killed a dolphin • Sex tourists say they’re going to Mexico to escape #MeToo • Joe Biden + his v. good dog,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"The death toll in a Northern California wildfire has risen to 29, matching the deadliest blaze in state history. Officials say 228 people are still unaccounted for.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"RT @dahboo7: It Looks Like A Volcano Erupted In #California, Extreme Devil Winds May Worsen Fires #Breaking #News",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
How #wildfires are making some #California #homes #uninsurable - The New York Times,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"#Portland Local #sagaftramembers - please share this information with anyone you know who may be affected by the California Fires! Amid SoCal Fires, Actors Fund and SAG-AFTRA Partners Activate Disaster Relief — and Not Just for Actors  #CAFire #1u #CA",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Could the Northern California Fire Really Have Killed 1,000 People?  @EmergencyMgtMag #disasterrelief #CA",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Watts Up With That @wattsupwiththat Was Global Warming A Significant Factor in California’s Camp Fire? The Answer is Clearly No.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Leahna Copsey’s house in CA was destroyed in the camp fire, but one remained standing &amp; when authorities arrived to survey the damage, they found the family’s dog, Ella, standing watch over the surviving residence. She was protecting the only house left.”",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New post (Malibu threatened and nine dead from monster wildfires in California) has been published on Daily top pop -,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @ConwayShow: Animals feeling the stress of the fires.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Death toll jumps to 25 in California wildfires; Lady Gaga, Kim Kardashian West forced out of their homes",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"@PeggyMercer @robbystarbuck Karma is from the false religions of Hinduism and Buddhism, it has nothing to do with Christianity, the Bible, or God! I do agree the fires are a form of Gods judgment on California, which is one of the worse, if not the worse immoral state in our country! Pray! Pray! Pray!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"#Modesto Gospel Mission was able to donate a variety of items to His Way Church in Stockton, who will be taking them to those affected by fires currently raging in California. We hope these items can bring relief in the coming weeks. #californiafires #campfire",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Not Just In #California: Manmade Political #Fires In #Canada, too",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @Classify: Leaked Footage of the man who caused all the California fire damage,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Keep in mind a CNN reporter filmed this. For such and intense fire, why is the area so cool and open a day later? #FactsMatter Open your eyes and really look around. Whats off? I noticed plenty. #SaturdayThoughts #SaturdayMotivation",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @lindseyvonn: Praying for everyone affected by the fires in California ὤFἿB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
California fires: Shelters now overflowing. Evacuees being turned away.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @mxdern_ecstasy: Gagas chickens after survivng the California fires,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Once again Trump gets it right as Clive Hill points out below. Even the Gov there was forced to admit it. They are finally thinning out the forests , logging, to do something about the wildfires.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RT @7107Lilly: How to help Californias Camp Fire victims in Paradise and nearby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Death toll in California wildfires climbs to 25 Credit  and NBC News. My condolences &amp; prayers for the families, friends, Victims of California State fires ὒ5. #CorruptDonaldJTrump #impeach45 and ashamed he not being sincere.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
How Wildfires Are Making Some California Homes Uninsurable @JohnCornyn @SenTedCruz @TXRandy14 About that climate change: We’re slowly marching toward a world that’s uninsurable.”,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Winds and Wildfires in California: 4 Factors to Watch That Increase Danger,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @ShakilAhmadButt: California wildfires: Death toll reaches grim milestone,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
California fires: 9 dead as 3 major blazes burn across the state - CNN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
@realDonaldTrump California cannot control the winds that drive these wild fires or the lightning strikes and arsonist that start them! Go and threaten Putin for a change!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Times of India: Death toll from California fire rises to 23 Times of India: The death toll from the most destructive fire to hit California rose to 23 on Saturday as rescue workers recovered more bodies of,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Death toll up to 23 and winds will continue to increase today. The entire community is decimated and displaced residents will be in need for months. Link in my bio if inclined to donate. 100% of all donations will go to the organizations and agencies on the ground #CampFire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"For those who lost everything, though, its a different story. Here are a list of charities who are helping #campfire victims:  Note that at this point, financial donations are needed more than anything.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Watch as a family prays for safety whilst fleeing a wildfire in California - nine people have been killed and more than 250,000 people have had to flee for safety from the fires.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"California! People and animals are being displaced by the wildfires. If you are near, please make water available for all refugees.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Instead of acknowledging the severity of the #CaliforniaFires and thanking everyone risking their lives trying to contain it and help people under evacuation orders, he blames and threatens one of the least funded Federal programs under his administration. Of course.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT @TheArtNewspaper: Artists’ homes and work destroyed in California wildfires,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Not surprised, but what an asshole Ὑ5ἿDpeople have lost their lives in fires and countless others are left with nothing but the clothes on their backs, but all this dumbass has to offer are threats and denying global warming",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@BrianGPowell @MikeTokes @beneleo The California fires do NOT make sense. How they start does NOT make sense. Where they start does NOT make sense. The damage caused does NOT make sense. EVERY YEAR and California ONLY  DOES NOT MAKE SENSE!! #California #CaliforniaFires,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
